test_key,scenario_key,description,config_path,requires_snapshot_refresh,portfolio_name,snapshot_summary,run_id,run_name,report_output_dir,return.annualized_return,return.gross_annualized_return,portfolio.total_cost_drag,risk_adjusted.sharpe_ratio,risk.max_drawdown,risk.annualized_volatility,portfolio.avg_holdings,portfolio.avg_monthly_recorded_turnover,portfolio.annualized_turnover_ratio,static_baseline.excess_return_annualized,static_baseline.excess_return_total,stress.static_baseline.excess_ann_return,stress.universe_ew.excess_ann_return,drawdown_brake_trigger_count,drawdown_brake_trigger_months,drawdown_brake_avg_fraction,analysis,report,SPY.excess_return_annualized,SPY.excess_return_total,SPY.tracking_error,SPY.information_ratio,SPY.max_drawdown_delta,SPY.hit_rate,static_baseline.tracking_error,static_baseline.information_ratio,static_baseline.max_drawdown_delta,static_baseline.hit_rate,universe_ew.excess_return_annualized,universe_ew.excess_return_total,universe_ew.tracking_error,universe_ew.information_ratio,universe_ew.max_drawdown_delta,universe_ew.hit_rate,normal.SPY.excess_ann_return,normal.SPY.strategy_max_dd,normal.SPY.hit_rate,normal.static_baseline.excess_ann_return,normal.static_baseline.strategy_max_dd,normal.static_baseline.hit_rate,normal.universe_ew.excess_ann_return,normal.universe_ew.strategy_max_dd,normal.universe_ew.hit_rate,stress.SPY.excess_ann_return,stress.SPY.strategy_max_dd,stress.SPY.hit_rate,stress.static_baseline.strategy_max_dd,stress.static_baseline.hit_rate,stress.universe_ew.strategy_max_dd,stress.universe_ew.hit_rate,source_file
1,cost_10bps,Transaction cost sensitivity at 10 bps.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\1_cost_10bps.yaml,False,cw2_formal_20260420_fund_ra3_s30_t50,,fbe31bfc-b7f6-4ce6-ae69-a5f4aa970322,cw2_sensitivity_fast_1_cost_10bps_20260429T213055Z,,12.123438,12.491731,0.368294,0.592534,17.018809,15.821564,34.474576,15.352812,184.233749,4.507717452035464,32.06850240079152,7.067541883616533,1.8280047944064532,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,1.0277751128787465,7.769922953539989,7.476142059281147,0.1374739945722179,5.349425516251895,50.84745762711864,4.026923976182457,1.1193947237883546,-0.7452836893345527,59.32203389830508,2.760030315842398,20.243779957445568,5.457523212500266,0.5057294689137821,2.531690265459396,59.32203389830508,3.1090463358354183,-22.631292413755343,54.761904761904766,4.124142696266707,-22.631292413755343,61.90476190476191,3.8263158432344495,-22.631292413755343,61.90476190476191,-2.296962674575777,-10.33380384174457,46.66666666666666,-10.33380384174457,60.0,-10.33380384174457,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
1,cost_15bps_mainline,Mainline transaction cost at 15 bps.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\1_cost_15bps_mainline.yaml,False,cw2_formal_20260420_fund_ra3_s30_t50,,de57484e-7e1c-4d26-997e-62bc5952588a,cw2_sensitivity_fast_1_cost_15bps_mainline_20260429T213117Z,,11.939623,12.491731,0.552109,0.582195,17.130798,15.816018,34.474576,15.352812,184.233749,4.323902099790455,30.658231692347226,6.870537494677498,1.631000405467418,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,0.8439597606337372,6.359652245095688,7.473935515404033,0.1129203963419683,5.237436369167227,50.84745762711864,4.024079189664523,1.0745072092259018,-0.8572728364192201,57.6271186440678,2.5762149635973888,18.833509249001267,5.45742984178736,0.4720564511652346,2.419701118374729,59.32203389830508,2.920205639444595,-22.78216811532652,54.761904761904766,3.935301999875884,-22.78216811532652,59.523809523809526,3.6374751468436273,-22.78216811532652,61.90476190476191,-2.493967063514813,-10.33380384174457,46.66666666666666,-10.33380384174457,60.0,-10.33380384174457,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
1,cost_25bps,Transaction cost sensitivity at 25 bps.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\1_cost_25bps.yaml,False,cw2_formal_20260420_fund_ra3_s30_t50,,72feec46-53da-4011-a71a-a0e0c042a624,cw2_sensitivity_fast_1_cost_25bps_20260429T213135Z,,11.572655,12.491731,0.919077,0.56146,17.354475,15.80591,34.474576,15.352812,184.233749,3.9569342494873103,27.86977472118605,6.477230653338941,1.2376935641288611,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,0.476991910330593,3.5711952739345207,7.471610566599883,0.0638405744087995,5.0137590549588005,49.15254237288136,4.022267412605561,0.9837571308875436,-1.0809501506276469,57.6271186440678,2.2092471132942446,16.0450522778401,5.460103300153571,0.4046163583081125,2.196023804166302,57.6271186440678,2.54325235902979,-23.083256784079044,54.761904761904766,3.55834871946108,-23.083256784079044,59.523809523809526,3.2605218664288227,-23.083256784079044,59.523809523809526,-2.887273904853369,-10.33380384174456,40.0,-10.33380384174456,60.0,-10.33380384174456,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
1,cost_40bps,Transaction cost sensitivity at 40 bps.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\1_cost_40bps.yaml,False,cw2_formal_20260420_fund_ra3_s30_t50,,d538ed4f-76a6-4207-b34b-be9e891c3e50,cw2_sensitivity_fast_1_cost_40bps_20260429T213153Z,,11.023856,12.491731,1.467875,0.530225,17.689238,15.793207,34.474576,15.352812,184.233749,3.408135947552693,23.7661470455051,5.88902696396576,0.6494898747556803,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,-0.0718063916040243,-0.5324324017464335,7.473346928086741,-0.0096083310857893,4.678996738021457,47.45762711864407,4.029248192142441,0.8458490976552406,-1.4157124675649904,54.23728813559322,1.6604488113596272,11.941424602159143,5.471250470369437,0.3034861628711924,1.8612614872289583,55.932203389830505,1.9796366816530184,-23.53323758049658,52.38095238095239,2.994733042084308,-23.53323758049658,57.14285714285714,2.6969061890520507,-23.53323758049658,59.523809523809526,-3.4754775942265503,-10.333803841744585,40.0,-10.333803841744585,53.333333333333336,-10.333803841744585,53.333333333333336,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
2,window_mainline,Mainline backtest window.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\2_window_mainline.yaml,False,cw2_formal_20260420_fund_ra3_s30_t50,,26ba78e3-7755-4d71-a8fd-6cc1d8cbcd07,cw2_sensitivity_fast_2_window_mainline_20260429T213249Z,,11.939623,12.491731,0.552109,0.582195,17.130798,15.816018,34.474576,15.352812,184.233749,4.323902099790455,30.658231692347226,6.870537494677498,1.631000405467418,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,0.8439597606337372,6.359652245095688,7.473935515404033,0.1129203963419683,5.237436369167227,50.84745762711864,4.024079189664523,1.0745072092259018,-0.8572728364192201,57.6271186440678,2.5762149635973888,18.833509249001267,5.45742984178736,0.4720564511652346,2.419701118374729,59.32203389830508,2.920205639444595,-22.78216811532652,54.761904761904766,3.935301999875884,-22.78216811532652,59.523809523809526,3.6374751468436273,-22.78216811532652,61.90476190476191,-2.493967063514813,-10.33380384174457,46.66666666666666,-10.33380384174457,60.0,-10.33380384174457,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
2,window_minus_3m,Backtest window shifted three months earlier.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\2_window_minus_3m.yaml,False,cw2_formal_20260420_fund_ra3_s30_t50,,ee52c083-ea18-426f-85da-f99c7d61fb81,cw2_sensitivity_fast_2_window_minus_3m_20260429T213233Z,,11.33037,11.852842,0.522472,0.567716,17.130798,15.442125,32.806452,14.609934,175.319213,3.714649558630368,30.658231692347226,6.870537494677498,1.631000405467418,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,0.2347072194736501,6.359652245095688,7.473935515404033,0.0314034311628606,5.237436369167227,50.84745762711864,4.024079189664523,0.9231054816642532,-0.8572728364192201,57.6271186440678,1.9669624224373017,18.833509249001267,5.45742984178736,0.3604191862213849,2.419701118374729,59.32203389830508,2.920205639444595,-22.78216811532652,54.761904761904766,3.935301999875884,-22.78216811532652,59.523809523809526,3.6374751468436273,-22.78216811532652,61.90476190476191,-2.493967063514813,-10.33380384174457,46.66666666666666,-10.33380384174457,60.0,-10.33380384174457,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
2,window_minus_6m,Backtest window shifted six months earlier.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\2_window_minus_6m.yaml,False,cw2_formal_20260420_fund_ra3_s30_t50,,652ed805-f2d9-48f0-bd15-135b30d245ef,cw2_sensitivity_fast_2_window_minus_6m_20260429T213211Z,,10.780228,11.276069,0.495842,0.55409,17.130798,15.093494,31.292308,13.93563,167.227557,3.164507159757646,30.658231692347226,6.870537494677498,1.631000405467418,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,-0.3154351793990706,6.359652245095688,7.473935515404033,-0.0422046964077958,5.237436369167227,50.84745762711864,4.024079189664523,0.7863928642073924,-0.8572728364192201,57.6271186440678,1.416820023564581,18.833509249001267,5.45742984178736,0.2596130531474792,2.419701118374729,59.32203389830508,2.920205639444595,-22.78216811532652,54.761904761904766,3.935301999875884,-22.78216811532652,59.523809523809526,3.6374751468436273,-22.78216811532652,61.90476190476191,-2.493967063514813,-10.33380384174457,46.66666666666666,-10.33380384174457,60.0,-10.33380384174457,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
2,window_plus_3m,Backtest window shifted three months later.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\2_window_plus_3m.yaml,False,cw2_formal_20260420_fund_ra3_s30_t50,,ef8d1c7e-1c4d-411a-893f-ad1d88183cd6,cw2_sensitivity_fast_2_window_plus_3m_20260429T213307Z,,11.95739,12.53904,0.58165,0.562263,17.130798,16.187664,35.875,14.384522,172.614263,4.722095368394696,30.85949108212596,6.871361506290198,1.631824417080118,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,1.390952035666681,9.600278658953968,7.518850335086023,0.1849953082821626,5.237436369167234,51.78571428571429,4.088412837915045,1.1549947511667653,-0.8572728364191988,60.71428571428571,2.8313944440481187,19.08617713283396,5.4797193554128025,0.5167042799831164,2.419701118374693,60.71428571428571,2.633006066252896,-22.663134542639785,53.65853658536586,4.004223086542002,-22.663134542639785,60.97560975609756,3.216423559586511,-22.663134542639785,60.97560975609756,-2.4931430519021127,-10.33380384174457,46.66666666666666,-10.33380384174457,60.0,-10.33380384174457,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
2,window_plus_6m,Backtest window shifted six months later.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\2_window_plus_6m.yaml,False,cw2_formal_20260420_fund_ra3_s30_t50,,c1ef138e-d5dc-4592-92ec-de6aee5ba9c0,cw2_sensitivity_fast_2_window_plus_6m_20260429T213324Z,,11.360092,11.933171,0.573079,0.515719,17.129822,16.238553,36.301887,14.249007,170.988088,4.293670475053069,25.640610039244137,5.488871611236723,1.6011393984380682,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,1.4953204767080184,9.322226902241823,7.6737540914094975,0.1948616620881789,5.238412539853677,52.83018867924528,4.136591812805817,1.0379729664795492,-0.8562966657327244,58.490566037735846,3.1146655532429364,18.94035866164665,5.454607882939082,0.571015482704996,2.4206772890611674,62.264150943396224,2.754515738723008,-16.398672531991522,53.84615384615385,3.889205277951203,-16.398672531991522,58.97435897435898,3.6134412093328914,-16.398672531991522,61.53846153846154,-2.3601607856253075,-10.33380384174455,50.0,-10.33380384174455,57.14285714285714,-10.33380384174455,64.28571428571429,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
3,concentration_broader,More diversified hybrid selection.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\3_concentration_broader.yaml,True,cw2_formal_20260_concentration_broader,,ef4ff439-955e-4fbb-b917-0cee22479d48,cw2_sensitivity_fast_3_concentration_broader_20260429T221345Z,,10.755101,11.294032,0.538931,0.512574,19.542191,15.89853,34.881356,15.169959,182.039509,3.139380279868642,21.785303773526813,6.845818362254951,1.6062812730448712,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,-0.3405620592880751,-2.5132756737247206,6.981372755699841,-0.0487815321148735,2.826043772255993,50.84745762711864,4.1007596306886525,0.7655606674369834,-3.2686654333304546,54.23728813559322,1.3916931436755764,9.960581330180858,5.306524993596838,0.2622607347284474,0.0083085214634941,55.932203389830505,1.306008145731763,-24.82144017597606,54.761904761904766,2.321104506163052,-24.82144017597606,54.761904761904766,2.023277653130795,-24.82144017597606,59.523809523809526,-2.5186861959373594,-11.157982367605312,46.66666666666666,-11.157982367605312,60.0,-11.157982367605312,53.333333333333336,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
3,concentration_mainline,Mainline hybrid concentration.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\3_concentration_mainline.yaml,True,cw2_formal_20260_concentration_mainline,,492884f9-1a41-41ee-a869-682d35f2b35d,cw2_sensitivity_fast_3_concentration_mainline_20260429T220056Z,,10.850475,11.40148,0.551006,0.514835,19.572882,16.039932,33.355932,15.459095,185.509143,3.2347539580342533,22.486096586296007,7.029111980408077,1.7895748911979972,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,-0.245188381122464,-1.8124828609555264,7.101870853361206,-0.0345244775897917,2.7953541987861925,50.84745762711864,4.207843861140629,0.7687438186352765,-3.299355006800255,54.23728813559322,1.4870668218411875,10.661374142950052,5.382017469262698,0.2763028604671003,-0.0223810520063061,59.32203389830508,1.3782042592643151,-24.91277780827585,54.761904761904766,2.393300619695604,-24.91277780827585,54.761904761904766,2.095473766663347,-24.91277780827585,61.90476190476191,-2.335392577784233,-11.16796260219327,46.66666666666666,-11.16796260219327,60.0,-11.16796260219327,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
3,concentration_tighter,More concentrated hybrid selection.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\3_concentration_tighter.yaml,True,cw2_formal_20260_concentration_tighter,,bc2fd72b-be48-486e-885d-072a35d4139e,cw2_sensitivity_fast_3_concentration_tighter_20260429T214719Z,,11.089285,11.644395,0.555111,0.528311,19.572882,16.044408,33.101695,15.531611,186.379331,3.473564434871057,24.25123377779392,7.029111980408077,1.7895748911979972,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,-0.0063779042856602,-0.0473456694576128,7.146589227073635,-0.0008924403072585,2.7953541987861925,50.84745762711864,4.236892679118675,0.8198377202213204,-3.299355006800255,54.23728813559322,1.7258772986779911,12.426511334447966,5.391873393007081,0.3200886172357728,-0.0223810520063061,59.32203389830508,1.7046208519400985,-24.91277780827585,54.761904761904766,2.7197172123713877,-24.91277780827585,54.761904761904766,2.4218903593391303,-24.91277780827585,61.90476190476191,-2.335392577784233,-11.16796260219327,46.66666666666666,-11.16796260219327,60.0,-11.16796260219327,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
4,factor_equal_weight,Equal-weight normal regime control.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\4_factor_equal_weight.yaml,True,cw2_formal_20260_factor_equal_weight,,88bde1e2-64d5-4eb5-b5c7-bdf59a072084,cw2_sensitivity_fast_4_factor_equal_weight_20260429T222722Z,,10.641606,11.210003,0.568397,0.504782,21.734633,15.958966,32.491525,15.918905,191.026864,3.025885106786608,20.954430893052223,6.411630497041431,1.1720934078313512,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,-0.4540572323701095,-3.3441485541993075,7.620340141175556,-0.0595849035552452,0.6336008245586555,47.45762711864407,4.366132983532832,0.6930354888866052,-5.461108381027792,61.01694915254237,1.278197970593542,9.129708449706271,4.575224539315741,0.2793738229915828,-2.184134426233843,54.23728813559322,1.2888190915561817,-24.516619047453855,52.38095238095239,2.3039154519874705,-24.516619047453855,61.90476190476191,2.006088598955213,-24.516619047453855,59.523809523809526,-2.9528740611508795,-12.486550699442413,40.0,-12.486550699442413,66.66666666666666,-12.486550699442413,46.66666666666666,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
4,factor_quality_down_5pct,Key tuned Test 4 check: normal-regime quality weight shifted down by 5 percentage points.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\4_factor_quality_down_5pct.yaml,True,cw2_formal_20260_factor_quality_down_5pct,,050e6258-0c61-4f17-9286-08283bf27012,cw2_sensitivity_fast_4_factor_quality_down_5pct_20260429T225839Z,,11.698239,12.252302,0.554063,0.569044,17.834328,15.794073,35.389831,15.430518,185.166214,4.082518685028759,28.820011414615912,6.650592405727094,1.4110553165170143,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,0.6025763458720412,4.521431967364379,7.184223823109324,0.0838749405236718,4.533907047939145,50.84745762711864,4.254282426109734,0.9596256844569572,-1.560802157647302,59.32203389830508,2.3348315488356928,16.995288971269957,5.387747144913415,0.4333595259829543,1.7161717971466466,59.32203389830508,2.6597733997518977,-23.66729381076621,54.761904761904766,3.674869760183187,-23.66729381076621,61.90476190476191,3.37704290715093,-23.66729381076621,61.90476190476191,-2.713912152465216,-10.542429480265714,46.66666666666666,-10.542429480265714,60.0,-10.542429480265714,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
4,factor_quality_up_5pct,Key tuned Test 4 check: normal-regime quality weight shifted up by 5 percentage points.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\4_factor_quality_up_5pct.yaml,True,cw2_formal_20260_factor_quality_up_5pct,,63a71fcf-340b-4f47-a38c-ad7c0d0d10d1,cw2_sensitivity_fast_4_factor_quality_up_5pct_20260429T224259Z,,10.043363,10.594572,0.55121,0.472459,19.820193,15.842849,33.355932,15.56489,186.778678,2.427642087694127,16.629654961467487,6.5635205450035325,1.323983455793453,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,-1.05230025146259,-7.668924485784046,7.1713576873976015,-0.1467365452028452,2.548041490164476,50.84745762711864,4.27205545515351,0.5682609023170775,-3.546667715421972,52.54237288135594,0.6799549515010614,4.804932518121532,5.596881176530812,0.1214881878057891,-0.2696937606280229,57.6271186440678,0.4235622572331454,-24.80185743774651,54.761904761904766,1.4386586176644345,-24.80185743774651,52.38095238095239,1.1408317646321775,-24.80185743774651,59.523809523809526,-2.8009840131887778,-11.317191355795398,46.66666666666666,-11.317191355795398,60.0,-11.317191355795398,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
4,factor_value_down_5pct,Key tuned Test 4 check: normal-regime value weight shifted down by 5 percentage points.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\4_factor_value_down_5pct.yaml,True,cw2_formal_20260_factor_value_down_5pct,,11064645-122f-4dd1-add6-4ee84b466fb8,cw2_sensitivity_fast_4_factor_value_down_5pct_20260429T234005Z,,10.177147,10.71943,0.542283,0.483305,19.339904,15.691539,37.169492,15.324435,183.893225,2.561426155858704,17.588836669909973,6.516140324621867,1.2766032354117876,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,-0.9185161832980137,-6.70974277734156,6.947421847487457,-0.1322096460329663,3.0283316082039065,50.84745762711864,3.990796532388184,0.6418333119894457,-3.066377597382541,52.54237288135594,0.813739019665638,5.764114226564018,5.227633968889222,0.1556610551749365,0.2105963574114078,52.54237288135594,0.6210708954535127,-25.316586199761247,54.761904761904766,1.6361672558848015,-25.316586199761247,52.38095238095239,1.3383404028525447,-25.316586199761247,52.38095238095239,-2.848364233570443,-10.885137912735477,46.66666666666666,-10.885137912735477,60.0,-10.885137912735477,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
4,factor_value_up_5pct,Key tuned Test 4 check: normal-regime value weight shifted up by 5 percentage points.,C:\Users\grace\OneDrive\文档\IFTE0003 Big Data\_inspected_zip\ift_coursework_2025_Team_Pearson-backup-20260418-qnative-v2-current-workspace\team_Pearson\coursework_two\outputs\robustness\sensitivity\configs\4_factor_value_up_5pct.yaml,True,cw2_formal_20260_factor_value_up_5pct,,a32711fb-b3ad-4472-8d07-5efb34c80d3f,cw2_sensitivity_fast_4_factor_value_up_5pct_20260429T231707Z,,12.944342,13.508803,0.564461,0.635619,15.698706,15.936435,33.711864,15.533592,186.403106,5.328619189299455,38.47812762352218,7.020968101209403,1.7814310119993235,0,[],0.0,"{'skipped': True, 'reason': 'fast_summary_only_reconstructed_from_completed_runs'}",,1.8486768501427375,14.179548176270645,7.611275476517367,0.2428866036771832,6.669527544108068,50.84745762711864,4.5359567680141,1.1747508765680748,0.5748183385216201,62.71186440677966,3.5809320531063893,26.65340518017622,5.544930603782585,0.6458028619264568,3.851792293315569,55.932203389830505,4.252489447838381,-21.295948667456777,54.761904761904766,5.26758580826967,-21.295948667456777,66.66666666666666,4.969758955237413,-21.295948667456777,57.14285714285714,-2.343536456982907,-10.847763937863276,46.66666666666666,-10.847763937863276,60.0,-10.847763937863276,60.0,deterministic_sensitivity_summary_formal_fast_6905_20260429.csv
